Algo used is LL
Format is [code,time,jobid,M/none,W/none]
['10', '14:59:43', '0', None, None]
['11', '14:59:43', '0', 'M0', '1']
['11', '14:59:43', '0', 'M1', '1']
['11', '14:59:43', '0', 'M2', '1']
['10', '14:59:43', '1', None, None]
['11', '14:59:43', '1', 'M0', '1']
['11', '14:59:43', '1', 'M1', '1']
['20', '14:59:44', '0', 'M0', None]
['20', '14:59:45', '0', 'M2', None]
['20', '14:59:45', '0', 'M1', None]
['11', '14:59:45', '0', 'R0', '1']
['11', '14:59:45', '0', 'R1', '1']
['20', '14:59:45', '1', 'M0', None]
['11', '14:59:45', '1', 'M2', '1']
['20', '14:59:45', '1', 'M1', None]
['20', '14:59:46', '0', 'R0', None]
['20', '14:59:46', '0', 'R1', None]
['21', '14:59:46', '0', None, None]
['11', '14:59:47', '1', 'M3', '1']
['10', '14:59:47', '2', None, None]
['11', '14:59:47', '2', 'M0', '1']
['11', '14:59:47', '2', 'M1', '1']
['11', '14:59:47', '2', 'M2', '1']
['20', '14:59:48', '1', 'M3', None]
['20', '14:59:48', '2', 'M2', None]
['20', '14:59:49', '1', 'M2', None]
['11', '14:59:49', '1', 'R0', '1']
['11', '14:59:49', '1', 'R1', '1']
['20', '14:59:49', '2', 'M1', None]
['11', '14:59:49', '2', 'M3', '1']
['10', '14:59:49', '3', None, None]
['11', '14:59:49', '3', 'M0', '1']
['10', '14:59:49', '4', None, None]
['20', '14:59:50', '2', 'M0', None]
['20', '14:59:50', '3', 'M0', None]
['11', '14:59:50', '3', 'R0', '1']
['20', '14:59:51', '1', 'R1', None]
['20', '14:59:51', '2', 'M3', None]
['11', '14:59:51', '2', 'R0', '1']
['11', '14:59:51', '4', 'M0', '1']
['10', '14:59:51', '5', None, None]
['11', '14:59:51', '5', 'M0', '1']
['20', '14:59:52', '2', 'R0', None]
['21', '14:59:52', '2', None, None]
['20', '14:59:53', '1', 'R0', None]
['21', '14:59:53', '1', None, None]
['20', '14:59:53', '3', 'R0', None]
['21', '14:59:53', '3', None, None]
['11', '14:59:53', '5', 'M1', '1']
['11', '14:59:53', '5', 'M2', '1']
['11', '14:59:53', '5', 'M3', '1']
['10', '14:59:53', '6', None, None]
['20', '14:59:54', '5', 'M0', None]
['20', '14:59:55', '4', 'M0', None]
['11', '14:59:55', '6', 'M0', '1']
['10', '14:59:55', '7', None, None]
['20', '14:59:55', '5', 'M3', None]
['11', '14:59:55', '7', 'M0', '1']
['11', '14:59:55', '7', 'M1', '1']
['20', '14:59:56', '5', 'M2', None]
['20', '14:59:56', '7', 'M1', None]
['20', '14:59:57', '5', 'M1', None]
['11', '14:59:57', '7', 'M2', '1']
['10', '14:59:57', '8', None, None]
['11', '14:59:57', '8', 'M0', '1']
['11', '14:59:57', '8', 'M1', '1']
['20', '14:59:58', '6', 'M0', None]
['20', '14:59:58', '8', 'M1', None]
['20', '14:59:59', '7', 'M0', None]
['11', '14:59:59', '8', 'M2', '1']
['10', '14:59:59', '9', None, None]
['11', '14:59:59', '9', 'M0', '1']
['11', '14:59:59', '9', 'M1', '1']
['10', '14:59:59', '10', None, None]
['20', '14:59:59', '7', 'M2', None]
['20', '15:00:00', '8', 'M0', None]
['20', '15:00:00', '8', 'M2', None]
['20', '15:00:01', '9', 'M0', None]
['20', '15:00:01', '9', 'M1', None]
['11', '15:00:01', '4', 'R0', '1']
['11', '15:00:01', '6', 'R0', '1']
['11', '15:00:01', '5', 'R0', '1']
['11', '15:00:01', '7', 'R0', '1']
['11', '15:00:01', '8', 'R0', '1']
['20', '15:00:02', '5', 'R0', None]
['21', '15:00:02', '5', None, None]
['11', '15:00:03', '10', 'M0', '1']
['10', '15:00:03', '11', None, None]
['20', '15:00:03', '6', 'R0', None]
['21', '15:00:03', '6', None, None]
['20', '15:00:04', '7', 'R0', None]
['21', '15:00:04', '7', None, None]
['20', '15:00:04', '10', 'M0', None]
['20', '15:00:05', '4', 'R0', None]
['21', '15:00:05', '4', None, None]
['20', '15:00:05', '8', 'R0', None]
['11', '15:00:05', '8', 'R1', '1']
['11', '15:00:05', '10', 'R0', '1']
['11', '15:00:05', '9', 'R0', '1']
['11', '15:00:05', '9', 'R1', '1']
['11', '15:00:05', '11', 'M0', '1']
['10', '15:00:05', '12', None, None]
['20', '15:00:06', '9', 'R1', None]
['20', '15:00:06', '9', 'R0', None]
['21', '15:00:06', '9', None, None]
['11', '15:00:07', '12', 'M0', '1']
['11', '15:00:07', '12', 'M1', '1']
['20', '15:00:08', '8', 'R1', None]
['21', '15:00:08', '8', None, None]
['20', '15:00:08', '10', 'R0', None]
['21', '15:00:08', '10', None, None]
['20', '15:00:09', '11', 'M0', None]
['20', '15:00:09', '12', 'M1', None]
['11', '15:00:09', '11', 'R0', '1']
['11', '15:00:09', '12', 'M2', '1']
['10', '15:00:09', '13', None, None]
['11', '15:00:09', '13', 'M0', '1']
['11', '15:00:09', '13', 'M1', '1']
['20', '15:00:10', '12', 'M0', None]
['20', '15:00:10', '13', 'M0', None]
['20', '15:00:11', '11', 'R0', None]
['21', '15:00:11', '11', None, None]
['11', '15:00:11', '13', 'M2', '1']
['10', '15:00:11', '14', None, None]
['11', '15:00:11', '14', 'M0', '1']
['11', '15:00:11', '14', 'M1', '1']
['10', '15:00:12', '15', None, None]
['20', '15:00:12', '12', 'M2', None]
['20', '15:00:13', '14', 'M1', None]
['11', '15:00:13', '12', 'R0', '1']
['20', '15:00:13', '13', 'M1', None]
['20', '15:00:14', '12', 'R0', None]
