Algo used is RA
Format is [code,time,jobid,M/none,W/none]
['10', '15:01:05', '0', None, None]
['11', '15:01:05', '0', 'M0', '2']
['10', '15:01:06', '1', None, None]
['11', '15:01:06', '1', 'M0', '3']
['11', '15:01:06', '1', 'M1', '1']
['10', '15:01:08', '2', None, None]
['11', '15:01:08', '2', 'M0', '1']
['10', '15:01:09', '3', None, None]
['11', '15:01:09', '3', 'M0', '1']
['11', '15:01:09', '3', 'M1', '2']
['11', '15:01:09', '3', 'M2', '2']
['11', '15:01:09', '3', 'M3', '2']
['20', '15:01:09', '0', 'M0', None]
['11', '15:01:09', '0', 'R0', '1']
['11', '15:01:09', '0', 'R1', '3']
['20', '15:01:09', '1', 'M0', None]
['20', '15:01:10', '3', 'M1', None]
['20', '15:01:10', '0', 'R1', None]
['20', '15:01:10', '1', 'M1', None]
['11', '15:01:10', '1', 'R0', '1']
['20', '15:01:11', '1', 'R0', None]
['21', '15:01:11', '1', None, None]
['20', '15:01:12', '3', 'M2', None]
['20', '15:01:12', '3', 'M3', None]
['20', '15:01:12', '2', 'M0', None]
['11', '15:01:12', '2', 'R0', '2']
['10', '15:01:12', '4', None, None]
['11', '15:01:12', '4', 'M0', '3']
['11', '15:01:12', '4', 'M1', '3']
['11', '15:01:12', '4', 'M2', '1']
['11', '15:01:12', '4', 'M3', '3']
['20', '15:01:13', '3', 'M0', None]
['20', '15:01:13', '0', 'R0', None]
['21', '15:01:13', '0', None, None]
['11', '15:01:13', '3', 'R0', '1']
['11', '15:01:13', '3', 'R1', '2']
['20', '15:01:13', '4', 'M3', None]
['10', '15:01:14', '5', None, None]
['11', '15:01:14', '5', 'M0', '1']
['11', '15:01:14', '5', 'M1', '1']
['20', '15:01:14', '4', 'M0', None]
['20', '15:01:14', '4', 'M1', None]
['20', '15:01:14', '4', 'M2', None]
['11', '15:01:14', '4', 'R0', '1']
['11', '15:01:14', '4', 'R1', '3']
['10', '15:01:15', '6', None, None]
['11', '15:01:15', '6', 'M0', '3']
['11', '15:01:15', '6', 'M1', '2']
['11', '15:01:15', '6', 'M2', '2']
['20', '15:01:16', '3', 'R0', None]
['20', '15:01:16', '3', 'R1', None]
['21', '15:01:16', '3', None, None]
['20', '15:01:16', '2', 'R0', None]
['21', '15:01:16', '2', None, None]
['20', '15:01:16', '5', 'M1', None]
['20', '15:01:16', '6', 'M2', None]
['20', '15:01:17', '6', 'M0', None]
['20', '15:01:17', '4', 'R0', None]
['10', '15:01:18', '7', None, None]
['11', '15:01:18', '7', 'M0', '1']
['11', '15:01:18', '7', 'M1', '2']
['10', '15:01:18', '8', None, None]
['11', '15:01:18', '8', 'M0', '2']
['11', '15:01:18', '8', 'M1', '1']
['20', '15:01:18', '5', 'M0', None]
['11', '15:01:18', '5', 'R0', '2']
['20', '15:01:18', '4', 'R1', None]
['21', '15:01:18', '4', None, None]
['20', '15:01:19', '8', 'M1', None]
['20', '15:01:19', '6', 'M1', None]
['11', '15:01:19', '6', 'R0', '1']
['20', '15:01:20', '8', 'M0', None]
['11', '15:01:20', '8', 'R0', '2']
['11', '15:01:20', '8', 'R1', '1']
['10', '15:01:20', '9', None, None]
['11', '15:01:20', '9', 'M0', '2']
['11', '15:01:20', '9', 'M1', '3']
['11', '15:01:20', '9', 'M2', '3']
['11', '15:01:20', '9', 'M3', '2']
['10', '15:01:21', '10', None, None]
['11', '15:01:21', '10', 'M0', '3']
['20', '15:01:21', '5', 'R0', None]
['21', '15:01:21', '5', None, None]
['20', '15:01:21', '6', 'R0', None]
['21', '15:01:21', '6', None, None]
['20', '15:01:22', '7', 'M0', None]
['20', '15:01:22', '7', 'M1', None]
['11', '15:01:22', '7', 'R0', '2']
['20', '15:01:22', '8', 'R1', None]
['10', '15:01:22', '11', None, None]
['11', '15:01:22', '11', 'M0', '2']
['11', '15:01:22', '11', 'M1', '2']
['11', '15:01:22', '11', 'M2', '1']
['11', '15:01:22', '11', 'M3', '1']
['20', '15:01:22', '9', 'M2', None]
['20', '15:01:23', '7', 'R0', None]
['21', '15:01:23', '7', None, None]
['20', '15:01:23', '8', 'R0', None]
['21', '15:01:23', '8', None, None]
['20', '15:01:23', '11', 'M0', None]
['10', '15:01:23', '12', None, None]
['11', '15:01:23', '12', 'M0', '2']
['11', '15:01:23', '12', 'M1', '2']
['11', '15:01:23', '12', 'M2', '1']
['20', '15:01:23', '9', 'M0', None]
['10', '15:01:23', '13', None, None]
['11', '15:01:23', '13', 'M0', '1']
['10', '15:01:23', '14', None, None]
['11', '15:01:23', '14', 'M0', '2']
['11', '15:01:23', '14', 'M1', '1']
['11', '15:01:23', '14', 'M2', '3']
['11', '15:01:23', '14', 'M3', '2']
['20', '15:01:24', '10', 'M0', None]
['11', '15:01:24', '10', 'R0', '3']
['20', '15:01:24', '11', 'M1', None]
['20', '15:01:24', '11', 'M2', None]
['20', '15:01:24', '11', 'M3', None]
['11', '15:01:24', '11', 'R0', '1']
['11', '15:01:24', '11', 'R1', '2']
['10', '15:01:24', '15', None, None]
['11', '15:01:24', '15', 'M0', '2']
['11', '15:01:24', '15', 'M1', '1']
['20', '15:01:24', '12', 'M2', None]
['20', '15:01:24', '9', 'M1', None]
['20', '15:01:24', '9', 'M3', None]
['11', '15:01:24', '9', 'R0', '1']
['11', '15:01:24', '9', 'R1', '2']
['11', '15:01:24', '15', 'M2', '3']
['20', '15:01:24', '13', 'M0', None]
['11', '15:01:24', '15', 'M3', '1']
['10', '15:01:24', '16', None, None]
['20', '15:01:25', '10', 'R0', None]
['21', '15:01:25', '10', None, None]
['11', '15:01:25', '13', 'R0', '3']
['20', '15:01:25', '11', 'R0', None]
['11', '15:01:25', '16', 'M0', '1']
['10', '15:01:25', '17', None, None]
['20', '15:01:25', '12', 'M1', None]
['11', '15:01:25', '17', 'M0', '2']
['20', '15:01:25', '9', 'R0', None]
['11', '15:01:25', '17', 'M1', '1']
['20', '15:01:25', '15', 'M2', None]
['11', '15:01:25', '17', 'M2', '3']
['10', '15:01:25', '18', None, None]
['20', '15:01:25', '14', 'M3', None]
['11', '15:01:25', '18', 'M0', '2']
['20', '15:01:26', '13', 'R0', None]
['21', '15:01:26', '13', None, None]
['11', '15:01:26', '18', 'M1', '3']
['20', '15:01:26', '16', 'M0', None]
['11', '15:01:26', '18', 'M2', '1']
['10', '15:01:26', '19', None, None]
['20', '15:01:26', '15', 'M1', None]
['11', '15:01:26', '19', 'M0', '1']
['20', '15:01:26', '12', 'M0', None]
['11', '15:01:26', '16', 'R0', '2']
['20', '15:01:26', '17', 'M0', None]
['20', '15:01:26', '9', 'R1', None]
['21', '15:01:26', '9', None, None]
['20', '15:01:26', '17', 'M1', None]
['11', '15:01:26', '19', 'M1', '2']
['11', '15:01:26', '19', 'M2', '2']
['11', '15:01:26', '16', 'R1', '1']
['20', '15:01:26', '14', 'M2', None]
['11', '15:01:26', '12', 'R0', '3']
['20', '15:01:27', '18', 'M1', None]
['11', '15:01:27', '12', 'R1', '3']
['20', '15:01:27', '15', 'M0', None]
['20', '15:01:27', '17', 'M2', None]
['11', '15:01:27', '17', 'R0', '2']
['20', '15:01:27', '14', 'M0', None]
['20', '15:01:27', '14', 'M1', None]
['11', '15:01:27', '14', 'R0', '3']
['20', '15:01:27', '12', 'R0', None]
['20', '15:01:28', '12', 'R1', None]
['21', '15:01:28', '12', None, None]
['20', '15:01:28', '11', 'R1', None]
['21', '15:01:28', '11', None, None]
['20', '15:01:28', '18', 'M2', None]
['20', '15:01:28', '16', 'R1', None]
['20', '15:01:28', '17', 'R0', None]
['21', '15:01:28', '17', None, None]
['20', '15:01:28', '15', 'M3', None]
['11', '15:01:28', '15', 'R0', '1']
['20', '15:01:28', '18', 'M0', None]
['11', '15:01:28', '18', 'R0', '3']
['20', '15:01:29', '19', 'M2', None]
['20', '15:01:29', '14', 'R0', None]
['21', '15:01:29', '14', None, None]
['20', '15:01:30', '19', 'M0', None]
['20', '15:01:30', '16', 'R0', None]
['21', '15:01:30', '16', None, None]
['20', '15:01:30', '19', 'M1', None]
['11', '15:01:30', '19', 'R0', '3']
['20', '15:01:30', '18', 'R0', None]
['21', '15:01:30', '18', None, None]
['20', '15:01:32', '19', 'R0', None]
['21', '15:01:32', '19', None, None]
['20', '15:01:32', '15', 'R0', None]
