Algo used is RR
Format is [code,time,jobid,M/none,W/none]
['10', '14:58:33', '0', None, None]
['11', '14:58:33', '0', 'M0', '1']
['11', '14:58:33', '0', 'M1', '1']
['11', '14:58:33', '0', 'M2', '1']
['11', '14:58:33', '0', 'M3', '1']
['10', '14:58:34', '1', None, None]
['11', '14:58:34', '1', 'M0', '1']
['11', '14:58:34', '1', 'M1', '2']
['11', '14:58:34', '1', 'M2', '2']
['10', '14:58:34', '2', None, None]
['11', '14:58:34', '2', 'M0', '2']
['11', '14:58:34', '2', 'M1', '2']
['11', '14:58:34', '2', 'M2', '2']
['20', '14:58:34', '0', 'M0', None]
['20', '14:58:34', '0', 'M1', None]
['20', '14:58:34', '0', 'M2', None]
['20', '14:58:34', '0', 'M3', None]
['11', '14:58:34', '0', 'R0', '1']
['11', '14:58:34', '0', 'R1', '1']
['20', '14:58:35', '1', 'M1', None]
['10', '14:58:36', '3', None, None]
['11', '14:58:36', '3', 'M0', '1']
['11', '14:58:36', '3', 'M1', '1']
['11', '14:58:36', '3', 'M2', '2']
['11', '14:58:36', '3', 'M3', '2']
['20', '14:58:36', '0', 'R1', None]
['20', '14:58:37', '1', 'M2', None]
['20', '14:58:37', '3', 'M3', None]
['20', '14:58:37', '2', 'M0', None]
['20', '14:58:37', '2', 'M1', None]
['20', '14:58:38', '1', 'M0', None]
['11', '14:58:38', '1', 'R0', '1']
['11', '14:58:38', '1', 'R1', '1']
['20', '14:58:38', '3', 'M0', None]
['20', '14:58:38', '3', 'M2', None]
['20', '14:58:38', '2', 'M2', None]
['11', '14:58:38', '2', 'R0', '1']
['10', '14:58:38', '4', None, None]
['11', '14:58:38', '4', 'M0', '2']
['20', '14:58:38', '0', 'R0', None]
['21', '14:58:38', '0', None, None]
['20', '14:58:39', '3', 'M1', None]
['11', '14:58:39', '3', 'R0', '1']
['11', '14:58:39', '3', 'R1', '1']
['10', '14:58:39', '5', None, None]
['11', '14:58:39', '5', 'M0', '2']
['11', '14:58:39', '5', 'M1', '2']
['11', '14:58:39', '5', 'M2', '2']
['20', '14:58:40', '2', 'R0', None]
['21', '14:58:40', '2', None, None]
['20', '14:58:40', '4', 'M0', None]
['11', '14:58:40', '4', 'R0', '1']
['11', '14:58:40', '4', 'R1', '2']
['20', '14:58:41', '1', 'R0', None]
['10', '14:58:41', '6', None, None]
['11', '14:58:41', '6', 'M0', '1']
['11', '14:58:41', '6', 'M1', '2']
['11', '14:58:41', '6', 'M2', '2']
['11', '14:58:41', '6', 'M3', '2']
['20', '14:58:41', '5', 'M0', None]
['20', '14:58:41', '5', 'M1', None]
['20', '14:58:42', '1', 'R1', None]
['21', '14:58:42', '1', None, None]
['20', '14:58:42', '6', 'M0', None]
['20', '14:58:42', '4', 'R0', None]
['20', '14:58:42', '4', 'R1', None]
['21', '14:58:42', '4', None, None]
['10', '14:58:43', '7', None, None]
['11', '14:58:43', '7', 'M0', '1']
['11', '14:58:43', '7', 'M1', '1']
['20', '14:58:43', '3', 'R0', None]
['20', '14:58:43', '3', 'R1', None]
['21', '14:58:43', '3', None, None]
['20', '14:58:43', '6', 'M2', None]
['20', '14:58:43', '6', 'M3', None]
['20', '14:58:43', '5', 'M2', None]
['11', '14:58:43', '5', 'R0', '1']
['20', '14:58:44', '6', 'M1', None]
['11', '14:58:44', '6', 'R0', '1']
['11', '14:58:44', '6', 'R1', '1']
['20', '14:58:45', '6', 'R0', None]
['10', '14:58:45', '8', None, None]
['11', '14:58:45', '8', 'M0', '1']
['10', '14:58:45', '9', None, None]
['11', '14:58:45', '9', 'M0', '2']
['20', '14:58:46', '7', 'M0', None]
['20', '14:58:46', '7', 'M1', None]
['11', '14:58:46', '7', 'R0', '1']
['11', '14:58:46', '7', 'R1', '1']
['10', '14:58:47', '10', None, None]
['11', '14:58:47', '10', 'M0', '2']
['11', '14:58:47', '10', 'M1', '2']
['11', '14:58:47', '10', 'M2', '2']
['11', '14:58:47', '10', 'M3', '2']
['20', '14:58:47', '8', 'M0', None]
['11', '14:58:47', '8', 'R0', '1']
['11', '14:58:47', '8', 'R1', '2']
['20', '14:58:47', '5', 'R0', None]
['21', '14:58:47', '5', None, None]
['10', '14:58:47', '11', None, None]
['11', '14:58:47', '11', 'M0', '1']
['11', '14:58:47', '11', 'M1', '2']
['11', '14:58:47', '11', 'M2', '3']
['20', '14:58:48', '6', 'R1', None]
['21', '14:58:48', '6', None, None]
['20', '14:58:48', '10', 'M0', None]
['20', '14:58:48', '11', 'M0', None]
['20', '14:58:49', '7', 'R0', None]
['20', '14:58:49', '7', 'R1', None]
['21', '14:58:49', '7', None, None]
['20', '14:58:49', '10', 'M1', None]
['20', '14:58:49', '8', 'R1', None]
['20', '14:58:49', '9', 'M0', None]
['11', '14:58:49', '9', 'R0', '1']
['20', '14:58:50', '10', 'M3', None]
['20', '14:58:50', '11', 'M1', None]
['20', '14:58:51', '10', 'M2', None]
['11', '14:58:51', '10', 'R0', '1']
['11', '14:58:51', '10', 'R1', '1']
['20', '14:58:51', '8', 'R0', None]
['21', '14:58:51', '8', None, None]
['10', '14:58:51', '12', None, None]
['11', '14:58:51', '12', 'M0', '1']
['11', '14:58:51', '12', 'M1', '1']
['11', '14:58:51', '12', 'M2', '2']
['20', '14:58:51', '9', 'R0', None]
['21', '14:58:51', '9', None, None]
['20', '14:58:51', '11', 'M2', None]
['11', '14:58:51', '11', 'R0', '1']
['10', '14:58:52', '13', None, None]
['11', '14:58:52', '13', 'M0', '2']
['20', '14:58:52', '12', 'M0', None]
['20', '14:58:53', '10', 'R0', None]
['10', '14:58:53', '14', None, None]
['11', '14:58:53', '14', 'M0', '1']
['11', '14:58:53', '14', 'M1', '1']
['11', '14:58:53', '14', 'M2', '2']
['11', '14:58:53', '14', 'M3', '2']
['10', '14:58:53', '15', None, None]
['11', '14:58:53', '15', 'M0', '2']
['11', '14:58:53', '15', 'M1', '2']
['11', '14:58:53', '15', 'M2', '2']
['20', '14:58:53', '13', 'M0', None]
['11', '14:58:53', '13', 'R0', '2']
['20', '14:58:53', '12', 'M2', None]
['20', '14:58:54', '11', 'R0', None]
['21', '14:58:54', '11', None, None]
['10', '14:58:54', '16', None, None]
['11', '14:58:54', '16', 'M0', '1']
['11', '14:58:54', '16', 'M1', '2']
['20', '14:58:54', '10', 'R1', None]
['21', '14:58:54', '10', None, None]
['20', '14:58:54', '14', 'M0', None]
['20', '14:58:54', '14', 'M1', None]
['10', '14:58:55', '17', None, None]
['11', '14:58:55', '17', 'M0', '1']
['11', '14:58:55', '17', 'M1', '1']
['11', '14:58:55', '17', 'M2', '1']
['20', '14:58:55', '16', 'M0', None]
['20', '14:58:55', '15', 'M0', None]
['20', '14:58:55', '13', 'R0', None]
['21', '14:58:55', '13', None, None]
['20', '14:58:55', '12', 'M1', None]
['11', '14:58:55', '12', 'R0', '1']
['10', '14:58:55', '18', None, None]
['11', '14:58:55', '18', 'M0', '1']
['11', '14:58:55', '18', 'M1', '2']
['11', '14:58:55', '18', 'M2', '2']
['11', '14:58:55', '18', 'M3', '3']
['20', '14:58:56', '17', 'M1', None]
['20', '14:58:56', '16', 'M1', None]
['11', '14:58:56', '16', 'R0', '1']
['20', '14:58:56', '14', 'M2', None]
['20', '14:58:56', '15', 'M2', None]
['10', '14:58:56', '19', None, None]
['11', '14:58:56', '19', 'M0', '2']
['11', '14:58:56', '19', 'M1', '2']
['20', '14:58:56', '18', 'M0', None]
['20', '14:58:57', '14', 'M3', None]
['11', '14:58:57', '14', 'R0', '1']
['20', '14:58:57', '15', 'M1', None]
['11', '14:58:57', '15', 'R0', '2']
['11', '14:58:57', '15', 'R1', '2']
['20', '14:58:57', '19', 'M1', None]
['20', '14:58:58', '17', 'M2', None]
['20', '14:58:58', '16', 'R0', None]
['21', '14:58:58', '16', None, None]
['20', '14:58:58', '14', 'R0', None]
['21', '14:58:58', '14', None, None]
['20', '14:58:58', '15', 'R1', None]
['20', '14:58:58', '12', 'R0', None]
['21', '14:58:58', '12', None, None]
['20', '14:58:58', '18', 'M2', None]
['20', '14:58:59', '17', 'M0', None]
['11', '14:58:59', '17', 'R0', '1']
['20', '14:58:59', '15', 'R0', None]
['21', '14:58:59', '15', None, None]
['20', '14:58:59', '18', 'M1', None]
['20', '14:58:59', '18', 'M3', None]
['11', '14:58:59', '18', 'R0', '1']
['11', '14:58:59', '18', 'R1', '1']
['20', '14:59:00', '17', 'R0', None]
['21', '14:59:00', '17', None, None]
['20', '14:59:00', '19', 'M0', None]
['11', '14:59:00', '19', 'R0', '1']
['20', '14:59:00', '18', 'R1', None]
['20', '14:59:02', '19', 'R0', None]
['21', '14:59:02', '19', None, None]
['20', '14:59:02', '18', 'R0', None]
['21', '14:59:02', '18', None, None]
